"date","build_year","floors","sitting_rooms","dining_rooms","bedrooms","wardrobes","bathrooms","car_parking","ancillary","landsize","price","district","sector"
"2022-09-19 10:57:38",2022,0,1,1,3,0,2,0,0,"0","400000"," Gasabo"," Remera"
"2022-09-19 10:38:22",2022,0,1,1,3,3,3,3,0,"826","300000"," Kicukiro"," Kagarama"
"2022-09-15 16:18:30",2022,0,1,0,3,3,0,5,0,"450","700"," Gasabo"," Remera"
"2022-09-15 16:17:05",2020,0,1,1,3,3,3,6,0,"900","800"," Gasabo"," Kacyiru"
"2022-09-14 13:06:58",2022,2,1,1,2,2,3,6,0,"1643","500000"," Kicukiro"," Kagarama"
"2022-09-13 13:34:21",2022,0,1,1,2,2,2,5,0,"2400","600"," Kicukiro"," Kicukiro"
"2022-09-11 14:10:45",2022,0,1,1,3,3,3,4,0,"450","450"," Gasabo"," Remera"
"2022-09-11 14:08:33",2022,0,1,1,3,3,3,4,0,"400","450"," Kicukiro"," Gikondo"
"2022-09-08 18:07:17",2022,2,1,1,2,2,3,3,0,"7354","500000"," Kicukiro"," Kagarama"
"2022-09-08 18:04:23",2022,2,1,0,2,2,1,1,0,"73543","250000"," Kicukiro"," Kanombe"
"2022-09-08 15:55:56",2019,1,1,1,3,3,3,5,0,"900","700"," Gasabo"," Remera"
"2022-09-03 08:42:22",2022,0,1,1,3,3,3,5,0,"600","600"," Kicukiro"," Kicukiro"
"2022-09-02 01:16:11",2022,0,1,1,3,3,2,8,0,"700","800"," Gasabo"," Remera"
"2022-08-30 18:36:50",2022,0,1,1,2,2,2,10,0,"850","1000"," Gasabo"," Kacyiru"
"2022-08-30 17:49:03",2022,0,1,1,2,2,2,4,0,"400","600"," Gasabo"," Kinyinya"
"2022-08-30 17:15:37",2022,0,1,1,2,2,2,4,0,"420","500"," Gasabo"," Gisozi"
"2022-08-30 17:15:31",2022,0,1,1,2,2,2,4,0,"500","600"," Gasabo"," Kacyiru"
"2022-08-29 17:34:33",2022,0,1,1,2,2,2,4,0,"400","700"," Gasabo"," Remera"
"2022-08-29 08:06:35",2022,0,1,1,2,2,2,4,0,"400","500"," Kicukiro"," Gikondo"
"2022-08-26 14:41:52",2022,0,1,1,2,2,2,3,0,"500","600000"," Gasabo"," Kinyinya"
"2022-08-20 21:01:14",2022,0,1,1,3,3,2,5,0,"500","800"," Gasabo"," Gisozi"
"2022-08-20 19:57:07",2022,0,1,1,4,4,3,5,0,"400","1000"," Gasabo"," Kimihurura"
"2022-08-20 17:07:52",2022,0,1,1,3,3,3,5,0,"600","1500"," Gasabo"," Kinyinya"
"2022-08-20 17:07:52",2022,0,1,1,4,4,3,0,0,"700","1500"," Gasabo"," Kinyinya"
"2022-08-20 17:07:52",2022,0,1,1,4,4,3,5,0,"600","1500"," Gasabo"," Kinyinya"
